
-----------------------------------------
| rollout/                |             |
|    entropy_loss         | -0.389      |
|    explained_variance   | 0.868       |
|    learning_rate        | 2.9e-05     |
|    loss                 | 0.23        |
|    n_updates            | 30910       |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 1.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 213         |
|    ep_rew_mean          | 29.2        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3093        |
|    time_elapsed         | 58451       |
|    total_timesteps      | 76013568    |
| train/                  |             |
|    approx_kl            | 0.025350621 |
|    clip_fraction        | 0.0843      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.394      |
|    explained_variance   | 0.859       |
|    learning_rate        | 2.9e-05     |
|    loss                 | 0.223       |
|    n_updates            | 30920       |
|    policy_gradient_loss | -0.0214     |
|    value_loss           | 1.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 215         |
|    ep_rew_mean          | 29          |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3094        |
|    time_elapsed         | 58470       |
|    total_timesteps      | 76038144    |
| train/                  |             |
|    approx_kl            | 0.024175718 |
|    clip_fraction        | 0.0792      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.399      |
|    explained_variance   | 0.857       |
|    learning_rate        | 2.9e-05     |
|    loss                 | 0.25        |
|    n_updates            | 30930       |
|    policy_gradient_loss | -0.0213     |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 212         |
|    ep_rew_mean          | 28.6        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3095        |
|    time_elapsed         | 58490       |
|    total_timesteps      | 76062720    |
| train/                  |             |
|    approx_kl            | 0.023468688 |
|    clip_fraction        | 0.0784      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.398      |
|    explained_variance   | 0.865       |
|    learning_rate        | 2.89e-05    |
|    loss                 | 0.219       |
|    n_updates            | 30940       |
|    policy_gradient_loss | -0.021      |
|    value_loss           | 1.29        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 214       |
|    ep_rew_mean          | 29.9      |
| time/                   |           |
|    fps                  | 1300      |
|    iterations           | 3096      |
|    time_elapsed         | 58509     |
|    total_timesteps      | 76087296  |
| train/                  |           |
|    approx_kl            | 0.0219544 |
|    clip_fraction        | 0.0784    |
|    clip_range           | 0.25      |
|    entropy_loss         | -0.412    |
|    explained_variance   | 0.865     |
|    learning_rate        | 2.89e-05  |
|    loss                 | 0.225     |
|    n_updates            | 30950     |
|    policy_gradient_loss | -0.0213   |
|    value_loss           | 1.31      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
|    ep_rew_mean          | 30.8        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3097        |
|    time_elapsed         | 58528       |
|    total_timesteps      | 76111872    |
| train/                  |             |
|    approx_kl            | 0.022407385 |
|    clip_fraction        | 0.0754      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.393      |
|    explained_variance   | 0.858       |
|    learning_rate        | 2.88e-05    |
|    loss                 | 0.21        |
|    n_updates            | 30960       |
|    policy_gradient_loss | -0.0203     |
|    value_loss           | 1.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 204         |
|    ep_rew_mean          | 28.8        |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 3098        |
|    time_elapsed         | 58547       |
|    total_timesteps      | 76136448    |
| train/                  |             |
|    approx_kl            | 0.021645583 |
|    clip_fraction        | 0.0798      |
|    clip_range           | 0.25        |
|    entropy_loss         | -0.397      |
|    explained_variance   | 0.862       |
|    learning_rate        | 2.88e-05    |
|    loss                 | 0.252       |
|    n_updates            | 30970       |
|    policy_gradient_loss | -0.0211     |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 211         |
